TOTAL_FRAME,321
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,201
TOTAL_FRAME,329
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,84
RENDER,194
TOTAL_FRAME,321
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,84
RENDER,195
TOTAL_FRAME,323
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,188
TOTAL_FRAME,315
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,101
RENDER,213
TOTAL_FRAME,357
INPUT_HANDLING,340
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,166
RENDER,218
TOTAL_FRAME,824
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,217
TOTAL_FRAME,364
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,216
TOTAL_FRAME,358
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,238
TOTAL_FRAME,380
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,217
TOTAL_FRAME,359
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,221
TOTAL_FRAME,364
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,115
RENDER,221
TOTAL_FRAME,384
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,227
TOTAL_FRAME,371
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,101
RENDER,247
TOTAL_FRAME,398
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,118
RENDER,268
TOTAL_FRAME,444
INPUT_HANDLING,6
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,173
RENDER,287
TOTAL_FRAME,514
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,99
RENDER,212
TOTAL_FRAME,359
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,216
TOTAL_FRAME,361
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,224
TOTAL_FRAME,367
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,216
TOTAL_FRAME,359
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,221
TOTAL_FRAME,365
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,98
RENDER,212
TOTAL_FRAME,357
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,216
TOTAL_FRAME,360
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,145
RENDER,219
TOTAL_FRAME,414
INPUT_HANDLING,70
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,103
RENDER,207
TOTAL_FRAME,429
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,216
TOTAL_FRAME,359
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,215
TOTAL_FRAME,360
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,97
RENDER,194
TOTAL_FRAME,339
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,92
RENDER,234
TOTAL_FRAME,373
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,110
RENDER,231
TOTAL_FRAME,390
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,111
RENDER,228
TOTAL_FRAME,389
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,110
RENDER,229
TOTAL_FRAME,388
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,126
RENDER,232
TOTAL_FRAME,405
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,104
RENDER,234
TOTAL_FRAME,393
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,107
RENDER,244
TOTAL_FRAME,399
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,105
RENDER,216
TOTAL_FRAME,367
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,108
RENDER,222
TOTAL_FRAME,378
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,106
RENDER,224
TOTAL_FRAME,378
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,106
RENDER,362
TOTAL_FRAME,519
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,218
TOTAL_FRAME,535
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,106
RENDER,217
TOTAL_FRAME,372
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,108
RENDER,194
TOTAL_FRAME,351
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,96
RENDER,213
TOTAL_FRAME,435
INPUT_HANDLING,192
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,164
RENDER,214
TOTAL_FRAME,624
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,90
RENDER,220
TOTAL_FRAME,356
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,91
RENDER,186
TOTAL_FRAME,322
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,250
TOTAL_FRAME,383
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,215
TOTAL_FRAME,356
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,90
RENDER,224
TOTAL_FRAME,363
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,222
TOTAL_FRAME,357
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,109
RENDER,244
TOTAL_FRAME,400
INPUT_HANDLING,4
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,104
RENDER,253
TOTAL_FRAME,405
INPUT_HANDLING,4
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,116
RENDER,313
TOTAL_FRAME,483
INPUT_HANDLING,6
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,108
RENDER,205
TOTAL_FRAME,363
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,213
TOTAL_FRAME,344
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,208
TOTAL_FRAME,338
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,213
TOTAL_FRAME,344
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,210
TOTAL_FRAME,340
INPUT_HANDLING,8
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,224
TOTAL_FRAME,361
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,90
RENDER,209
TOTAL_FRAME,344
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,195
TOTAL_FRAME,324
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,195
TOTAL_FRAME,323
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,84
RENDER,203
TOTAL_FRAME,330
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,112
RENDER,186
TOTAL_FRAME,344
INPUT_HANDLING,294
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,232
RENDER,231
TOTAL_FRAME,807
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,220
TOTAL_FRAME,349
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,190
TOTAL_FRAME,321
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,198
TOTAL_FRAME,329
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
